batch;code;tbl_speed_mean;tbl_speed_change;tbl_speed_0_duration;total_waste;startup_waste;weekend;fom_mean;fom_change;SREL_startup_mean;SREL_production_mean;SREL_production_max;main_CompForce mean;main_CompForce_sd;main_CompForce_median;pre_CompForce_mean;tbl_fill_mean;tbl_fill_sd;cyl_height_mean;stiffness_mean;stiffness_max;stiffness_min;ejection_mean;ejection_max;ejection_min;Startup_tbl_fill_maxDifference;Startup_main_CompForce_mean;Startup_tbl_fill_mean;Drug release average (%);Drug release min (%);Residual solvent;Total impurities;Impurity O;Impurity L
777;17;119.9869228;1.770833333;41.77083333;1260.104167;12083;no;79.97815363;15;5.104878049;2.463568109;5.3;7.954951734;0.114042507;8;0.042116553;6.369481587;0.056944582;1.813668216;57.35716839;62;50;190.4454773;220;168;0.62;6.3575;6.2905;95;90;0.06;0.05;0.05;0.05
778;17;119.9506173;1.875;57.39583333;944.375;5937;no;79.85185185;9;3.461904762;2.695700071;5.5;7.767093106;0.357288054;7.9;0;6.391766169;0.04192032;1.836368159;58.68194741;63;46;180.97086;204;104;0.37;9.947619048;6.28;95.83;90;0.03;0.05;0.05;0.05
779;17;120;1.5625;41.5625;1044.375;9974;no;79.97810734;13;2.953125;2.695;6.9;6.6575;0.094095988;6.7;0;6.359796429;0.040942731;1.9;60.06785714;68;51;166.4753571;186;150;0.7;6.909375;6.118125;97.5;93;0.08;0.05;0.05;0.05
780;17;119.8927394;5.833333333;188.3333333;2199.0625;7288;yes;79.93447793;14;3.088888889;2.666643085;7.2;7.923991507;0.536825601;7.6;0.194019816;6.362353149;0.146153092;1.789543524;62.33404105;73;18;190.2027601;312;80;0.57;7.488;6.1344;93.5;89;0.08;0.06;0.05;0.05
781;17;119.9340933;1.354166667;27.39583333;601.7708333;5671;no;80;6;4.085;2.511727305;5.1;8.358389262;0.113440034;8.4;0.070575768;6.310219004;0.044706598;1.75;60.93429883;67;49;193.0981985;219;147;0.3;10.255;6.188;96.67;88;0.07;0.05;0.05;0.05
782;17;119.965309;1.041666667;23.125;262.2916667;2506;no;79.97893258;9;5.4;2.873194787;6.8;8.158999648;0.1095631;8.2;0;6.392451567;0.053947542;1.788129623;63.63156041;71;47;194.7407538;221;175;1.14;9.733333333;6.352222222;98.5;91;0.13;0.05;0.05;0.05
783;17;119.9798379;2.083333333;48.64583333;1901.979167;18255;no;79.97780127;17;3.610344828;3.195755396;6.1;6.862302158;0.097778981;6.9;0;6.538683453;0.051805757;1.895395683;59.60935252;69;52;176.0431655;202;160;0.89;7.594736842;6.263333333;89.17;82;0.03;0.05;0.05;0.05
784;17;119.9449087;1.979166667;28.75;821.3541667;7753;no;80;12;4.14;3.154055969;5;6.359723698;0.106104572;6.4;0;6.529525328;0.080553463;1.935260361;60.64080765;70;55;169.6957138;212;148;0.25;6.56;6.342;88;83;0.03;0.05;0.05;0.05
785;17;119.9031493;2.395833333;106.5625;1146.5625;10980;no;79.95615276;21;17.63333333;2.41747851;7.7;6.560601719;0.066294105;6.6;0;6.348284384;0.050630854;1.87;63.15759312;71;35;177.8305874;195;164;0.29;6.202941176;6.283823529;90.33;85;0.04;0.05;0.05;0.05
786;17;119.963976;1.041666667;33.02083333;377.7083333;3598;no;80;6;4.75;2.59072238;7.7;6.759631728;0.066323996;6.8;0;6.450028329;0.046344204;1.87;61.13349858;70;34;179.3919972;197;164;0.14;6.730769231;6.254615385;90.67;87;0.05;0.05;0.05;0.05
